,name
0,12 HR Acetazolamide 500 MG Extended Release Oral Capsule
1,12 HR Acetazolamide 500 MG Extended Release Oral Capsule [Diamox]
2,12 HR Albuterol 4 MG Extended Release Oral Tablet
3,12 HR Amoxicillin 1000 MG / Clavulanate 62.5 MG Extended Release Oral Tablet
4,12 HR Bupropion Hydrochloride 100 MG Extended Release Oral Tablet
5,12 HR Bupropion Hydrochloride 100 MG Extended Release Oral Tablet [Budeprion]
6,12 HR Bupropion Hydrochloride 100 MG Extended Release Oral Tablet [Wellbutrin]
7,12 HR Bupropion Hydrochloride 150 MG Extended Release Oral Tablet
8,12 HR Bupropion Hydrochloride 150 MG Extended Release Oral Tablet [Budeprion]
9,12 HR Bupropion Hydrochloride 150 MG Extended Release Oral Tablet [Wellbutrin]
10,12 HR Bupropion Hydrochloride 200 MG Extended Release Oral Tablet
11,12 HR Bupropion Hydrochloride 200 MG Extended Release Oral Tablet [Wellbutrin]
12,12 HR Bupropion Hydrochloride 90 MG / Naltrexone hydrochloride 8 MG Extended Release Oral Tablet [Contrave]
13,12 HR CHLORPHENIRAMINE POLISTIREX 8 MG / HYDROCODONE POLISTIREX 10 MG Extended Release Oral Capsule [TussiCaps]
14,12 HR Carbamazepine 100 MG Extended Release Oral Capsule
15,12 HR Carbamazepine 100 MG Extended Release Oral Tablet [Tegretol]
16,12 HR Carbamazepine 200 MG Extended Release Oral Capsule
17,12 HR Carbamazepine 200 MG Extended Release Oral Capsule [Carbatrol]
18,12 HR Carbamazepine 200 MG Extended Release Oral Capsule [Equetro]
19,12 HR Carbamazepine 200 MG Extended Release Oral Tablet
20,12 HR Carbamazepine 300 MG Extended Release Oral Capsule
21,12 HR Carbamazepine 400 MG Extended Release Oral Tablet
22,12 HR Carbamazepine 400 MG Extended Release Oral Tablet [Tegretol]
23,12 HR Cefaclor 500 MG Extended Release Oral Tablet
24,12 HR Clonidine Hydrochloride 0.1 MG Extended Release Oral Tablet
25,12 HR Clonidine Hydrochloride 0.1 MG Extended Release Oral Tablet [Kapvay]
26,12 HR Diltiazem Hydrochloride 120 MG Extended Release Oral Capsule
27,12 HR Diltiazem Hydrochloride 60 MG Extended Release Oral Capsule
28,12 HR Diltiazem Hydrochloride 90 MG Extended Release Oral Capsule
29,12 HR Fexofenadine hydrochloride 60 MG / Pseudoephedrine Hydrochloride 120 MG Extended Release Oral Tablet [Allegra-D]
30,12 HR Guaifenesin 600 MG / Pseudoephedrine Hydrochloride 60 MG Extended Release Oral Tablet [Mucinex D]
31,12 HR Guaifenesin 600 MG Extended Release Oral Tablet
32,12 HR Guaifenesin 600 MG Extended Release Oral Tablet [Mucinex]
33,12 HR Hyoscyamine Sulfate 0.375 MG Extended Release Oral Tablet
34,12 HR Loratadine 5 MG / Pseudoephedrine sulfate 120 MG Extended Release Oral Tablet [Alavert D]
35,12 HR Orphenadrine Citrate 100 MG Extended Release Oral Tablet
36,12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet
37,12 HR Oxycodone Hydrochloride 20 MG Extended Release Oral Tablet
38,12 HR Oxycodone Hydrochloride 40 MG Extended Release Oral Tablet
39,12 HR Oxycodone Hydrochloride 80 MG Extended Release Oral Tablet
40,12 HR Propafenone Hydrochloride 225 MG Extended Release Oral Capsule
41,12 HR Propafenone Hydrochloride 325 MG Extended Release Oral Capsule
42,12 HR Propafenone Hydrochloride 325 MG Extended Release Oral Capsule [Rythmol]
43,12 HR cetirizine hydrochloride 5 MG / Pseudoephedrine Hydrochloride 120 MG Extended Release Oral Tablet
44,12 HR desloratadine 2.5 MG / Pseudoephedrine sulfate 120 MG Extended Release Oral Tablet [Clarinex-D]
45,12 HR ranolazine 1000 MG Extended Release Oral Tablet [Ranexa]
46,12 HR ranolazine 500 MG Extended Release Oral Tablet [Ranexa]
47,24 HR Alfuzosin hydrochloride 10 MG Extended Release Oral Tablet
48,24 HR Alfuzosin hydrochloride 10 MG Extended Release Oral Tablet [UroXatral]
49,24 HR Alprazolam 0.5 MG Extended Release Oral Tablet
50,24 HR Alprazolam 1 MG Extended Release Oral Tablet
51,24 HR Amphetamine aspartate 1.25 MG / Amphetamine Sulfate 1.25 MG / Dextroamphetamine saccharate 1.25 MG / Dextroamphetamine Sulfate 1.25 MG Extended Release Oral Capsule
52,24 HR Amphetamine aspartate 2.5 MG / Amphetamine Sulfate 2.5 MG / Dextroamphetamine saccharate 2.5 MG / Dextroamphetamine Sulfate 2.5 MG Extended Release Oral Capsule
53,24 HR Amphetamine aspartate 3.75 MG / Amphetamine Sulfate 3.75 MG / Dextroamphetamine saccharate 3.75 MG / Dextroamphetamine Sulfate 3.75 MG Extended Release Oral Capsule
54,24 HR Amphetamine aspartate 5 MG / Amphetamine Sulfate 5 MG / Dextroamphetamine saccharate 5 MG / Dextroamphetamine Sulfate 5 MG Extended Release Oral Capsule
55,24 HR Amphetamine aspartate 6.25 MG / Amphetamine Sulfate 6.25 MG / Dextroamphetamine saccharate 6.25 MG / Dextroamphetamine Sulfate 6.25 MG Extended Release Oral Capsule
56,24 HR Amphetamine aspartate 7.5 MG / Amphetamine Sulfate 7.5 MG / Dextroamphetamine saccharate 7.5 MG / Dextroamphetamine Sulfate 7.5 MG Extended Release Oral Capsule
57,24 HR Budesonide 9 MG Extended Release Oral Tablet [Uceris]
58,24 HR Bupropion Hydrochloride 150 MG Extended Release Oral Tablet
59,24 HR Bupropion Hydrochloride 300 MG Extended Release Oral Tablet
60,24 HR Ciprofloxacin 500 MG Extended Release Oral Tablet
61,24 HR Clarithromycin 500 MG Extended Release Oral Tablet
62,24 HR Cyclobenzaprine hydrochloride 15 MG Extended Release Oral Capsule [Amrix]
63,24 HR Cyclobenzaprine hydrochloride 30 MG Extended Release Oral Capsule [Amrix]
64,24 HR Desvenlafaxine 100 MG Extended Release Oral Tablet
65,24 HR Desvenlafaxine 100 MG Extended Release Oral Tablet [Pristiq]
66,24 HR Desvenlafaxine 50 MG Extended Release Oral Tablet
67,24 HR Diclofenac Sodium 100 MG Extended Release Oral Tablet
68,24 HR Diethylpropion Hydrochloride 75 MG Extended Release Oral Tablet
69,24 HR Diltiazem Hydrochloride 120 MG Extended Release Oral Capsule
